Index,Notes (scalar),Notes (radial),PC Set,Prime Form,Forte class,Accidents,1,2,3,4,5,6
0,Cb Db Eb Fb Gb Ab Bb,Db Cb Bb Eb Fb Gb Ab,B13468A,013568A,7-35,"(0, 0, 0, 0, 0, 0, 0)",2,5,4,3,6,1
1,Cb Db Eb Fb Gb Ab Bn,Db Cb Bn Eb Fb Gb Ab,B13468B,024579,6-32,"(0, 0, 0, 0, 0, 0, 1)",1,4,3,2,5,0
2,Cb Db Eb Fb Gb Ab B#,Db Cb B# Eb Fb Gb Ab,B134680,0124579,7-27,"(0, 0, 0, 0, 0, 0, 2)",3,4,4,4,5,1
10,Cb Db Eb Fb Gb An Bb,Db Cb Bb Eb Fb Gb An,B13469A,0124679,7-29,"(0, 0, 0, 0, 0, 1, 0)",3,4,4,3,5,2
11,Cb Db Eb Fb Gb An Bn,Db Cb Bn Eb Fb Gb An,B13469B,023579,6-33,"(0, 0, 0, 0, 0, 1, 1)",1,4,3,2,4,1
12,Cb Db Eb Fb Gb An B#,Db Cb B# Eb Fb Gb An,B134690,0234679,7-25,"(0, 0, 0, 0, 0, 1, 2)",3,4,5,3,4,2
20,Cb Db Eb Fb Gb A# Bb,Db Cb Bb Eb Fb Gb A#,B1346AA,013568,6-25,"(0, 0, 0, 0, 0, 2, 0)",2,3,3,2,4,1
21,Cb Db Eb Fb Gb A# Bn,Db Cb Bn Eb Fb Gb A#,B1346AB,013568,6-25,"(0, 0, 0, 0, 0, 2, 1)",2,3,3,2,4,1
22,Cb Db Eb Fb Gb A# B#,Db Cb B# Eb Fb Gb A#,B1346A0,0123568,7-36,"(0, 0, 0, 0, 0, 2, 2)",4,4,4,3,4,2
100,Cb Db Eb Fb Gn Ab Bb,Db Cb Bb Eb Fb Gn Ab,B13478A,0134689,7-32,"(0, 0, 0, 0, 1, 0, 0)",3,3,5,4,4,2
101,Cb Db Eb Fb Gn Ab Bn,Db Cb Bn Eb Fb Gn Ab,B13478B,014579,6-31,"(0, 0, 0, 0, 1, 0, 1)",2,2,3,4,3,1
102,Cb Db Eb Fb Gn Ab B#,Db Cb B# Eb Fb Gn Ab,B134780,0124589,7-21,"(0, 0, 0, 0, 1, 0, 2)",4,2,4,6,4,1
110,Cb Db Eb Fb Gn An Bb,Db Cb Bb Eb Fb Gn An,B13479A,0135679,7-28,"(0, 0, 0, 0, 1, 1, 0)",3,4,4,4,3,3
111,Cb Db Eb Fb Gn An Bn,Db Cb Bn Eb Fb Gn An,B13479B,013579,6-34,"(0, 0, 0, 0, 1, 1, 1)",1,4,2,4,2,2
112,Cb Db Eb Fb Gn An B#,Db Cb B# Eb Fb Gn An,B134790,0134579,7-26,"(0, 0, 0, 0, 1, 1, 2)",3,4,4,5,3,2
120,Cb Db Eb Fb Gn A# Bb,Db Cb Bb Eb Fb Gn A#,B1347AA,013569,6-28,"(0, 0, 0, 0, 1, 2, 0)",2,2,4,3,2,2
121,Cb Db Eb Fb Gn A# Bn,Db Cb Bn Eb Fb Gn A#,B1347AB,013569,6-28,"(0, 0, 0, 0, 1, 2, 1)",2,2,4,3,2,2
122,Cb Db Eb Fb Gn A# B#,Db Cb B# Eb Fb Gn A#,B1347A0,0123569,7-16,"(0, 0, 0, 0, 1, 2, 2)",4,3,5,4,3,2
200,Cb Db Eb Fb G# Ab Bb,Db Cb Bb Eb Fb G# Ab,B13488A,013568,6-25,"(0, 0, 0, 0, 2, 0, 0)",2,3,3,2,4,1
201,Cb Db Eb Fb G# Ab Bn,Db Cb Bn Eb Fb G# Ab,B13488B,01358,5-27,"(0, 0, 0, 0, 2, 0, 1)",1,2,2,2,3,0
202,Cb Db Eb Fb G# Ab B#,Db Cb B# Eb Fb G# Ab,B134880,013458,6-14,"(0, 0, 0, 0, 2, 0, 2)",3,2,3,4,3,0
210,Cb Db Eb Fb G# An Bb,Db Cb Bb Eb Fb G# An,B13489A,0123578,7-14,"(0, 0, 0, 0, 2, 1, 0)",4,4,3,3,5,2
211,Cb Db Eb Fb G# An Bn,Db Cb Bn Eb Fb G# An,B13489B,013578,6-26,"(0, 0, 0, 0, 2, 1, 1)",2,3,2,3,4,1
212,Cb Db Eb Fb G# An B#,Db Cb B# Eb Fb G# An,B134890,0134578,7-37,"(0, 0, 0, 0, 2, 1, 2)",4,3,4,5,4,1
220,Cb Db Eb Fb G# A# Bb,Db Cb Bb Eb Fb G# A#,B1348AA,013568,6-25,"(0, 0, 0, 0, 2, 2, 0)",2,3,3,2,4,1
221,Cb Db Eb Fb G# A# Bn,Db Cb Bn Eb Fb G# A#,B1348AB,013568,6-25,"(0, 0, 0, 0, 2, 2, 1)",2,3,3,2,4,1
222,Cb Db Eb Fb G# A# B#,Db Cb B# Eb Fb G# A#,B1348A0,0134568,7-11,"(0, 0, 0, 0, 2, 2, 2)",4,4,4,4,4,1
1000,Cb Db Eb Fn Gb Ab Bb,Db Cb Bb Eb Fn Gb Ab,B13568A,013568A,7-35,"(0, 0, 0, 1, 0, 0, 0)",2,5,4,3,6,1
1001,Cb Db Eb Fn Gb Ab Bn,Db Cb Bn Eb Fn Gb Ab,B13568B,023579,6-33,"(0, 0, 0, 1, 0, 0, 1)",1,4,3,2,4,1
1002,Cb Db Eb Fn Gb Ab B#,Db Cb B# Eb Fn Gb Ab,B135680,0124679,7-29,"(0, 0, 0, 1, 0, 0, 2)",3,4,4,3,5,2
1010,Cb Db Eb Fn Gb An Bb,Db Cb Bb Eb Fn Gb An,B13569A,0124689,7-30,"(0, 0, 0, 1, 0, 1, 0)",3,4,3,5,4,2
1011,Cb Db Eb Fn Gb An Bn,Db Cb Bn Eb Fn Gb An,B13569B,013579,6-34,"(0, 0, 0, 1, 0, 1, 1)",1,4,2,4,2,2
1012,Cb Db Eb Fn Gb An B#,Db Cb B# Eb Fn Gb An,B135690,0135679,7-28,"(0, 0, 0, 1, 0, 1, 2)",3,4,4,4,3,3
1020,Cb Db Eb Fn Gb A# Bb,Db Cb Bb Eb Fn Gb A#,B1356AA,013578,6-26,"(0, 0, 0, 1, 0, 2, 0)",2,3,2,3,4,1
1021,Cb Db Eb Fn Gb A# Bn,Db Cb Bn Eb Fn Gb A#,B1356AB,013578,6-26,"(0, 0, 0, 1, 0, 2, 1)",2,3,2,3,4,1
1022,Cb Db Eb Fn Gb A# B#,Db Cb B# Eb Fn Gb A#,B1356A0,0123578,7-14,"(0, 0, 0, 1, 0, 2, 2)",4,4,3,3,5,2
1100,Cb Db Eb Fn Gn Ab Bb,Db Cb Bb Eb Fn Gn Ab,B13578A,013468A,7-34,"(0, 0, 0, 1, 1, 0, 0)",2,5,4,4,4,2
1101,Cb Db Eb Fn Gn Ab Bn,Db Cb Bn Eb Fn Gn Ab,B13578B,013579,6-34,"(0, 0, 0, 1, 1, 0, 1)",1,4,2,4,2,2
1102,Cb Db Eb Fn Gn Ab B#,Db Cb B# Eb Fn Gn Ab,B135780,0124689,7-30,"(0, 0, 0, 1, 1, 0, 2)",3,4,3,5,4,2
1110,Cb Db Eb Fn Gn An Bb,Db Cb Bb Eb Fn Gn An,B13579A,012468A,7-33,"(0, 0, 0, 1, 1, 1, 0)",2,6,2,6,2,3
1111,Cb Db Eb Fn Gn An Bn,Db Cb Bn Eb Fn Gn An,B13579B,02468A,6-35,"(0, 0, 0, 1, 1, 1, 1)",0,6,0,6,0,3
1112,Cb Db Eb Fn Gn An B#,Db Cb B# Eb Fn Gn An,B135790,012468A,7-33,"(0, 0, 0, 1, 1, 1, 2)",2,6,2,6,2,3
1120,Cb Db Eb Fn Gn A# Bb,Db Cb Bb Eb Fn Gn A#,B1357AA,013579,6-34,"(0, 0, 0, 1, 1, 2, 0)",1,4,2,4,2,2
1121,Cb Db Eb Fn Gn A# Bn,Db Cb Bn Eb Fn Gn A#,B1357AB,013579,6-34,"(0, 0, 0, 1, 1, 2, 1)",1,4,2,4,2,2
1122,Cb Db Eb Fn Gn A# B#,Db Cb B# Eb Fn Gn A#,B1357A0,0123579,7-24,"(0, 0, 0, 1, 1, 2, 2)",3,5,3,4,4,2
1200,Cb Db Eb Fn G# Ab Bb,Db Cb Bb Eb Fn G# Ab,B13588A,023579,6-33,"(0, 0, 0, 1, 2, 0, 0)",1,4,3,2,4,1
1201,Cb Db Eb Fn G# Ab Bn,Db Cb Bn Eb Fn G# Ab,B13588B,02469,5-34,"(0, 0, 0, 1, 2, 0, 1)",0,3,2,2,2,1
1202,Cb Db Eb Fn G# Ab B#,Db Cb B# Eb Fn G# Ab,B135880,012469,6-46,"(0, 0, 0, 1, 2, 0, 2)",2,3,3,3,3,1
1210,Cb Db Eb Fn G# An Bb,Db Cb Bb Eb Fn G# An,B13589A,0123579,7-24,"(0, 0, 0, 1, 2, 1, 0)",3,5,3,4,4,2
1211,Cb Db Eb Fn G# An Bn,Db Cb Bn Eb Fn G# An,B13589B,013579,6-34,"(0, 0, 0, 1, 2, 1, 1)",1,4,2,4,2,2
1212,Cb Db Eb Fn G# An B#,Db Cb B# Eb Fn G# An,B135890,0134579,7-26,"(0, 0, 0, 1, 2, 1, 2)",3,4,4,5,3,2
